,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,dim 11,dim 12,MPa,Error_GRF,MechWork,ErrorMom,RoM,Experiment No.
0,0.738,1.9869999999999999,0.11900000000000001,1.7619999999999998,0.59,48.25,0.14800000000000002,0.625,1.079,0.9420000000000001,1.136,0.753,639.5904,0.03517154019859732,0.0022478530946330416,2.4421287375927228,2.542825698999998,1.0
1,0.862,1.979,0.461,1.1420000000000001,0.23,-55.25,0.988,0.8859999999999999,0.9890000000000001,0.609,1.286,0.948,678.8516,0.01518189445770195,0.015456888861539063,1.4800136106525044,19.319448754502,2.0
2,0.38799999999999996,0.8240000000000001,0.449,1.63,0.8740000000000001,-7.55,0.742,0.764,0.946,0.7959999999999999,1.489,0.963,697.6824,0.017247826627484454,8.633469586606145,1.303972203215646,27.2609844504,3.0
3,0.7879999999999999,2.181,0.39899999999999997,1.3980000000000001,0.966,31.15,0.5870000000000001,0.627,0.981,0.862,1.016,0.8540000000000001,617.7568,0.03779888386909178,7.744428074706869,2.0790744661688993,26.29194954021,4.0
4,0.162,2.134,0.491,1.181,0.902,14.95,0.872,0.672,0.789,1.041,1.271,0.992,698.1921,0.04415607161328329,14.864731045982802,1.5399125806557703,31.093965724390003,5.0
5,0.502,0.7390000000000001,0.251,1.801,0.43,3.25,0.867,0.9470000000000001,0.9590000000000001,1.024,0.7759999999999999,0.95,773.2903,0.024417421397731,11.802343375635227,1.025586630160493,32.295734406,6.0
6,0.8079999999999999,0.948,0.055999999999999994,1.847,0.418,-66.95,0.748,0.5870000000000001,0.8290000000000001,0.983,0.499,0.845,728.4455,0.031479557594381744,14.766843193818893,1.3382462715114571,29.700650676709994,7.0
7,0.057,1.227,0.494,1.227,0.8420000000000001,61.75,0.8220000000000001,0.8540000000000001,0.816,0.5870000000000001,1.361,0.807,608.8666,0.013541300702368557,4.859005508749312,1.2622291463499915,20.906396456378,8.0
8,0.08199999999999999,1.5530000000000002,0.374,1.2819999999999998,0.862,90.55,0.568,0.7240000000000001,0.9640000000000001,0.6609999999999999,0.214,0.7879999999999999,616.5901,0.02556031892953004,6.0879872171385525,1.2436731523733278,24.92790476995,9.0
9,0.14800000000000002,1.018,0.344,1.995,0.27399999999999997,-17.45,0.248,0.71,1.034,0.986,0.5589999999999999,0.804,702.8907,0.025274426575329686,11.246902732770529,1.0342542297287722,30.104524642520005,10.0
10,0.972,1.63,0.214,2.142,0.742,-44.45,0.258,0.584,0.899,0.8370000000000001,0.484,0.972,635.3586,0.03829952371290943,0.3335188139140316,2.086402414157744,25.6783600747,11.0
11,0.5479999999999999,1.444,0.14400000000000002,1.359,0.5539999999999999,-9.35,0.353,0.938,1.2209999999999999,0.711,0.679,0.7020000000000001,708.4565,0.01841522415896432,8.326496761984988,1.0596151572548491,23.602429404429998,12.0
12,0.098,1.4369999999999998,0.039,2.157,0.9740000000000001,-3.05,0.792,0.753,0.799,0.5710000000000001,0.154,0.831,555.1946,0.02220272543169044,0.6033070127958324,2.4401383930250096,19.21765497286,13.0
13,0.248,0.8009999999999999,0.151,1.6769999999999998,0.33,-71.45,0.348,0.728,0.7559999999999999,0.9690000000000001,0.034,0.74,792.5327,0.029266865526614724,13.562403763931885,1.1346287882583237,29.67317840484,14.0
14,0.012,1.158,0.139,1.421,0.722,81.55,0.8420000000000001,0.809,1.0090000000000001,0.7659999999999999,1.204,0.7140000000000001,636.8127,0.01640104166514381,5.1755747127282845,0.8874630471956724,27.125196456999998,15.0
15,0.36200000000000004,1.111,0.066,0.9790000000000001,0.20600000000000002,-42.65,0.898,0.924,1.104,0.909,0.184,0.92,664.7289,0.01258618065042676,4.453150693436563,0.6572767674572533,23.9629316334,16.0
16,0.368,1.32,0.069,1.964,0.218,64.45,0.9129999999999999,0.677,1.1640000000000001,0.769,1.1440000000000001,0.741,699.4832,0.01874866751784121,4.900564373275855,0.8148131030338284,25.791129261410003,17.0
17,0.522,1.127,0.20600000000000002,0.941,0.7020000000000001,-25.55,0.20199999999999999,0.528,1.181,0.634,0.326,0.914,577.0091,0.011700932297587945,3.6485173668400215,0.8776932658212728,21.021179676000003,18.0
18,0.308,1.607,0.19399999999999998,1.754,0.9179999999999999,-23.75,0.728,0.7759999999999999,0.774,0.736,1.046,0.813,574.3621,0.030636310466118345,7.295795367765742,2.0493495839717983,22.93785977321,19.0
19,0.872,0.654,0.376,2.165,0.28600000000000003,-66.05,0.49200000000000005,0.746,0.8759999999999999,0.774,0.019,0.927,673.8675,0.03045372333346926,9.049661758678734,1.8379895422197363,24.189615783833,20.0
20,0.348,1.537,0.134,1.685,0.898,-5.75,0.473,0.632,1.216,0.92,0.401,0.875,684.6459,0.021570908111394185,8.928620889637635,1.1405733373972633,28.318803131959996,21.0
21,0.5870000000000001,1.375,0.396,1.483,0.534,59.95,0.978,0.569,1.159,0.562,0.9259999999999999,0.755,606.9274,0.010640904744024682,0.6960425107311514,0.4397131077295651,20.60543611684,22.0
22,0.358,1.413,0.309,1.158,0.946,46.45,0.022000000000000002,0.868,1.169,0.565,1.226,0.857,629.5378,0.02035196666146795,5.748656496753289,1.173468648211034,22.249160767,23.0
23,0.332,1.902,0.21100000000000002,0.747,0.45,63.55,0.5379999999999999,0.5329999999999999,1.036,1.038,0.19899999999999998,0.7170000000000001,739.7629,0.03748500269381682,11.36252186742342,0.9428014538977064,34.828049667652,24.0
