,dim 1,dim 2,dim 3,dim 4,dim 5,dim 6,dim 7,dim 8,dim 9,dim 10,Element,Part,Time,MPa,Error_GRF,MechWork,ErrorAng,ErrorMom,QS,Energy Gen,Energy Abs,RoM,Experiment No.
0,14.696,19.446,6.146,2.346,9.312,10.737,18.179,2.029,7.254,9.471,20.0,13.0,102.0,1678.2294,0.045154774497188355,5.343820031925327,2.2958359170859275,1.0961316226733755,1.6959837698796516,10.868674217213636,4.00437966392319,32.63034244656,1.0
1,10.262,2.979,10.262,17.546,10.896,17.071,10.104,11.688,8.046,15.013,5.0,5.0,96.0,1955.9683,0.04562962782481694,8.250567846991789,1.7439224602304142,0.8256464163175233,1.2847844382739688,9.986498880720804,3.357137451958254,21.4689645768,2.0
2,15.013,9.629,18.021,8.679,6.146,19.921,11.688,15.329,8.521,15.487,3.0,5.0,84.0,200.6728,0.027874555916087243,0.37568476174932913,1.5147177292707263,0.49704293342415,1.0058803313474383,5.845278913465727,0.6834850135774192,2.360818863000002,3.0
3,9.629,7.571,1.396,8.204,17.229,13.904,1.238,12.954,5.196,14.221,8.0,9.0,101.0,1803.7338,0.02617723084846797,0.5422188671344552,2.487366880242588,2.97824777338545,2.7328073268140187,12.222603894382344,3.83257171170034,42.4349565211,4.0
4,4.404,3.771,15.329,18.654,13.904,10.896,8.521,18.338,7.413,1.871,1.0,31.0,30.0,1482.6569,0.04506371389968722,7.346180699556534,1.8760322083681942,0.7968864609150693,1.3364593346416318,10.996843718306605,4.110127817421183,25.117911815200003,5.0
5,18.021,18.179,12.638,6.146,5.354,2.504,12.479,5.512,9.946,1.554,1.0,31.0,31.0,2194.7051,0.03366843392555258,0.07893497920107463,1.4860770948224296,0.3563467916527673,0.9212119432375985,8.16713749564487,2.0575977642493237,3.379735947000004,6.0
6,8.996,1.238,14.062,8.046,13.429,8.837,13.112,14.062,16.912,11.688,5.0,5.0,107.0,1850.5992,0.024489496633242056,0.11087674982447981,2.8203023531108373,2.882167983061269,2.8512351680860535,10.25456809688957,3.0712552435712004,26.77049677094,7.0
7,14.854,19.921,5.987,14.062,11.212,13.112,8.996,6.779,4.404,5.671,9.0,9.0,94.0,482.2107,0.026388533902402617,0.6075014833369295,1.5507883341767343,0.44999487473774047,1.0003916044572374,6.151279331737602,1.0577473999035856,4.358280181000005,8.0
8,5.196,16.438,2.504,16.596,8.837,5.038,13.746,8.204,8.996,5.512,18.0,10.0,111.0,1595.7269,0.046440417995434774,11.443862681744656,2.408642273770952,1.9017641870932251,2.1552032304320887,10.558319659948273,3.3779628867660905,35.31059397778,9.0
9,8.046,4.087,7.254,12.796,15.329,5.196,4.087,7.888,13.271,16.438,2.0,5.0,95.0,1141.3389,0.023170118401819026,2.579922672913405,1.4889936050264545,0.5356709356128815,1.012332270319668,7.6852725311167145,2.358889201048722,13.105697632000002,10.0
